id,ResourceID,GeoUnit,GeoCode,Geo,Period,Duration,Code1,Label1,Code2,Label2,Code3,Label3,Code4,Label4,Code5,Label5,Code6,Label6,Value,Unit,Measure,Multiplier,NullReason,Status
3dfa258f-f750-48fc-babd-6f2677849e66,CEN2018-1,RC,01,Northland Region,2006-03-07,,000,Less than One Year,2,Māori,1,Male,,,,,,,492,Count,Census usually resident population,0,,F
26f598d2-1a86-49b4-9258-2d576ecd13e5,CEN2018-1,RC,01,Northland Region,2006-03-07,,000,Less than One Year,3,Pacific Peoples,1,Male,,,,,,,60,Count,Census usually resident population,0,,F
f8d61388-c226-48f7-bc70-38ed068d0db5,CEN2018-1,RC,01,Northland Region,2006-03-07,,000,Less than One Year,4,Asian,1,Male,,,,,,,30,Count,Census usually resident population,0,,F
30ca5289-016a-4350-9a90-0de589014452,CEN2018-1,RC,01,Northland Region,2006-03-07,,000,Less than One Year,3,Pacific Peoples,2,Female,,,,,,,63,Count,Census usually resident population,0,,F
4fa25ad8-3837-4e97-b00a-9b47e030ad9c,CEN2018-1,RC,01,Northland Region,2006-03-07,,000,Less than One Year,4,Asian,2,Female,,,,,,,18,Count,Census usually resident population,0,,F
52b7eb88-0b19-4b4a-ae56-b8e9220a3943,CEN2018-1,RC,01,Northland Region,2006-03-07,,000,Less than One Year,1,European,total,Total,,,,,,,1206,Count,Census usually resident population,0,,F
2c1a24f4-5416-453d-895e-585b523dbf4c,CEN2018-1,RC,01,Northland Region,2006-03-07,,000,Less than One Year,2,Māori,total,Total,,,,,,,1005,Count,Census usually resident population,0,,F
2d1ccb3f-8750-4b04-8093-2316e146fe9a,CEN2018-1,RC,01,Northland Region,2006-03-07,,000,Less than One Year,4,Asian,total,Total,,,,,,,51,Count,Census usually resident population,0,,F
c7e60268-99a1-4c83-ba24-eb72e3989dcc,CEN2018-1,RC,01,Northland Region,2006-03-07,,000,Less than One Year,total,Total,total,Total,,,,,,,2094,Count,Census usually resident population,0,,F
52261b8d-b929-41a6-bc2e-ca36e670d242,CEN2018-1,RC,01,Northland Region,2006-03-07,,000,Less than One Year,totalStated,Total stated,total,Total,,,,,,,1899,Count,Census usually resident population,0,,F
