id,ResourceID,GeoUnit,Geo,Period,Duration,Label1,Label2,Label3,Label4,Label5,Label6,Value,Unit,Measure,Multiplier,NullReason,Status
f9ea77eb-0882-490a-b057-dc2f06d9ec02,CPTOU3,,,2015-02-28,P1M,Total select tourism industries,,,,,,29004,Number,Enterprise counts,0,,
f7fe2cf6-b2bd-401c-b23d-c456fb5eb421,CPTOU3,,,2015-03-31,P1M,Total select tourism industries,,,,,,29115,Number,Enterprise counts,0,,
475664a1-a0b9-4e61-8747-06753ae096ee,CPTOU3,,,2015-05-31,P1M,Total select tourism industries,,,,,,29094,Number,Enterprise counts,0,,
6125b98f-3dee-4d15-86c2-5d3191e168ae,CPTOU3,,,2015-06-30,P1M,Total select tourism industries,,,,,,29460,Number,Enterprise counts,0,,
cd43a7f4-fc15-40dd-a43a-5ee2956bf540,CPTOU3,,,2015-07-31,P1M,Total select tourism industries,,,,,,29313,Number,Enterprise counts,0,,
d03e733a-9a0a-4116-93f0-a4409f78fde2,CPTOU3,,,2015-08-31,P1M,Total select tourism industries,,,,,,29346,Number,Enterprise counts,0,,
9dff9722-1cc9-4a59-b54e-fe152621b222,CPTOU3,,,2015-09-30,P1M,Total select tourism industries,,,,,,29271,Number,Enterprise counts,0,,
2e8e8c62-de87-49f5-b09b-3eef2cc92be8,CPTOU3,,,2015-10-31,P1M,Total select tourism industries,,,,,,29307,Number,Enterprise counts,0,,
e993e73d-2577-4481-82b1-d246a8cac57c,CPTOU3,,,2015-11-30,P1M,Total select tourism industries,,,,,,29292,Number,Enterprise counts,0,,
330af7da-3346-4d80-8204-7ab0c99a7163,CPTOU3,,,2015-12-31,P1M,Total select tourism industries,,,,,,29565,Number,Enterprise counts,0,,
