id,ResourceID,GeoUnit,Geo,Period,Duration,Label1,Label2,Label3,Label4,Label5,Label6,Value,Unit,Measure,Multiplier,NullReason,Status
af956033-d984-4e28-ae7f-b80b3b4d6831,MEI1.1,,,1999-04-30,P1M,All industries,Seasonally adjusted,,,,,3473.774964,NZD,Earnings - cash,6,,R
afa2b92d-4d3b-40a5-b0f6-1ecddc0bb8cb,MEI1.1,,,1999-04-30,P1M,All industries,Trend,,,,,3550.777043,NZD,Earnings - cash,6,,R
e0b7890b-11a6-458e-aeb0-35b31a7afe55,MEI1.1,,,1999-04-30,P1M,All industries,Trend,,,,,1417940.0,Number,Filled jobs,0,,R
15780460-6c19-42c8-a499-1c8dc063290f,MEI1.1,,,1999-04-30,P1M,Goods-producing industries,Seasonally adjusted,,,,,820.109988,NZD,Earnings - cash,6,,R
53b8bf0a-3489-4b09-b72d-30bccb0263ed,MEI1.1,,,1999-04-30,P1M,Goods-producing industries,Trend,,,,,832.5339,NZD,Earnings - cash,6,,R
352c6477-75af-426c-8547-77cf25c7b440,MEI1.1,,,1999-04-30,P1M,Goods-producing industries,Trend,,,,,288930.0,Number,Filled jobs,0,,R
e20105b0-595b-4bf9-bb5d-b2d540f6ba73,MEI1.1,,,1999-04-30,P1M,Primary industries,Actual,,,,,130.783345,NZD,Earnings - cash,6,,F
6f5f72d5-7929-4222-8c20-99bc70e48ff6,MEI1.1,,,1999-04-30,P1M,Primary industries,Seasonally adjusted,,,,,79867.0,Number,Filled jobs,0,,R
0e6257c1-5661-402c-a262-f1df3ff24d95,MEI1.1,,,1999-04-30,P1M,Service industries,Actual,,,,,1076883.0,Number,Filled jobs,0,,F
534a036b-93fa-43e4-be73-c8a66c5c4e00,MEI1.1,,,1999-04-30,P1M,All industries,Actual,,,,,3473.774964,NZD,Earnings - cash,6,,F
