id,ResourceID,GeoUnit,GeoCode,Geo,Period,Duration,Code1,Label1,Code2,Label2,Code3,Label3,Code4,Label4,Code5,Label5,Code6,Label6,Value,Unit,Measure,Multiplier,NullReason,Status
8d5ef9c7-75b7-433f-958c-10cf62ea341b,TIMHS10,,,,2020-10-31,P1M,929,,0403100000,,AE,,,,,,,,206,NZD,VFD,0,,F
2979fd87-244e-4af9-9211-c93dad2db6f5,TIMHS10,,,,2020-10-31,P1M,929,,0404100000,,AE,,,,,,,,654,kg,Quantity,0,,F
c1d047bd-9382-4b38-ae03-251f38e8a06c,TIMHS10,,,,2020-10-31,P1M,929,,0404100000,,AE,,,,,,,,1585,NZD,VFD,0,,F
327654e1-4b10-4cbd-8287-341a99700159,TIMHS10,,,,2020-10-31,P1M,929,,0405900005,,AE,,,,,,,,6335,NZD,CIF,0,,F
9d8ef029-b54d-4846-9a8a-232e8cb12868,TIMHS10,,,,2020-10-31,P1M,929,,0712900900,,AE,,,,,,,,509,NZD,CIF,0,,F
58dfafe6-6b85-4ab6-929b-779cd1c9043a,TIMHS10,,,,2020-10-31,P1M,929,,0712900900,,AE,,,,,,,,69,kg,Quantity,0,,F
3a3b89fd-a99b-41c8-a982-0043da6ab4a9,TIMHS10,,,,2020-10-31,P1M,929,,0712900900,,AE,,,,,,,,508,NZD,VFD,0,,F
a06a7ad2-97b0-4d12-8340-ed558113f9ff,TIMHS10,,,,2020-10-31,P1M,929,,0712901909,,AE,,,,,,,,855,NZD,CIF,0,,F
4de8c574-eab7-47ca-9836-8c8cb035f2f7,TIMHS10,,,,2020-10-31,P1M,929,,0712901909,,AE,,,,,,,,292,kg,Quantity,0,,F
7834a83b-b570-489a-a558-198b8208ee36,TIMHS10,,,,2020-10-31,P1M,929,,0802220000,,AE,,,,,,,,464,NZD,CIF,0,,F
